song_id,title,artist_name,year,genre_id,genre_name,duration,audio_url,image_url,lyrics
171702,The Fox (What Does The Fox Say?),Ylvis,2013.0,1.0,Pop,213,https://www.youtube.com/watch?v=jofNR_WkoCE,https://i.ytimg.com/vi_webp/jofNR_WkoCE/maxresdefault.webp,"98 ContributorsTranslationsFrançais한국어The Fox (What Does The Fox Say?) Lyrics[Verse 1: Bård]
Dog goes ""woof"", cat goes ""meow""
Bird goes ""tweet"" and mouse goes ""squeak""
Cow goes ""moo"", frog goes ""croak""
And the elephant goes ""toot""

[Pre-Chorus: Bård]
Ducks say ""quack"" and fish go ""blub""
And the seal goes ""ow ow ow""
But there's one sound that no one knows

[Chorus: Bård]
What does the fox say?
""Ring-ding-ding-ding-dingeringeding!
Gering-ding-ding-ding-dingeringeding!
Gering-ding-ding-ding-dingeringeding!""
What the fox say?
""Wa-pa-pa-pa-pa-pa-pow!
Wa-pa-pa-pa-pa-pa-pow!
Wa-pa-pa-pa-pa-pa-pow!""
What the fox say?
""Hatee-hatee-hatee-ho!
Hatee-hatee-hatee-ho!
Hatee-hatee-hatee-ho!""
What the fox say?
""Joff-tchoff-tchoffo-tchoffo-tchoff!
Tchoff-tchoff-tchoffo-tchoffo-tchoff!
Joff-tchoff-tchoffo-tchoffo-tchoff!""
What the fox say?


[Verse 2: Vegard]
Big blue eyes, pointy nose
Chasing mice and digging holes
Tiny paws up the hill
Suddenly you're standing still

[Pre-Chorus: Bård & Vegard, Bård]
Your fur is red, so beautiful
Like an angel in disguise
But if you meet a friendly horse
Will you communicate by
Mo-o-o-o-orse?
Mo-o-o-o-orse?
Mo-o-o-o-orse?
How will you speak to that
Ho-o-o-o-orse?
Ho-o-o-o-orse?
Ho-o-o-o-orse?

[Chorus: Bård]
What does the fox say?
""Jacha-chacha-chacha-chow!
Chacha-chacha-chacha-chow!
Chacha-chacha-chacha-chow!""
What the fox say?
""Fraka-kaka-kaka-kaka-kow!
Fraka-kaka-kaka-kaka-kow!
Fraka-kaka-kaka-kaka-kow!""
What the fox say?
""A-hee-ahee ha-hee!
A-hee-ahee ha-hee!
A-hee-ahee ha-hee!""
What the fox say?
""A-oo-oo-oo-ooo! Woo-oo-oo-ooo!""
What does the fox say?


[Bridge: Vegard & Bård]
The secret of the fox, ancient mystery
Somewhere deep in the woods
I know you're hiding
What is your sound? Will we ever know?
Will always be a mystery
What do you say?

[Outro: Bård, Vegard]
You're my guardian angel hiding in the woods
What is your sound?
(Wa-wa-way-do Wub-wid-bid-dum-way-do Wa-wa-way-do)
Will we ever know?
(Bay-budabud-dum-bam)
I want to
(Mama-dum-day-do)
I want to, I want to know!
(Abay-ba-da bum-bum bay-do la)"
171703,I'm Only Joking,KONGOS,2014.0,33.0,Edm ,224,https://www.youtube.com/watch?v=3Ip1irYWXck,https://i.ytimg.com/vi_webp/3Ip1irYWXck/maxresdefault.webp,"26 ContributorsI’m Only Joking Lyrics[Intro]
Wadu-aidu-wadaidu...

[Verse 1]
There is a song, you're tremblin' to its tune
At the request of the moon
Lickin' her chops, she looks at the lunatics
She needs another fix

[Chorus]
I'm only jokin', I don't believe a thing I've said
What are you smokin'? I'm just a-fuckin' with your head
Only a crazy little thing I read
I'm only jokin', I don't believe a thing I've said
What are you smokin'? I'm just a-fuckin' with your head
Only a crazy little thing I read
Only a crazy little thing I read

[Verse 2]
And maybe the planets are tryin' to become the stars
And we really came from Mars
The earth is alive and man is a parasite
And heavenly bodies make us fight

[Chorus]
I'm only jokin', I don't believe a thing I've said
What are you smokin'? I'm just a-fuckin' with your head
Only a crazy little thing I read
I'm only jokin', I don't believe a thing I've said
What are you smokin'? I'm just a-fuckin' with your head
Only a crazy little thing I read
Only a crazy little thing I read


[Interlude]
Wadu-aidu-wadaidu, wadu-aidu-wadaidu
Wadu-aidu-wadaidu, wadu-aidu-wadaidu
Wadu-aidu-wadaidu, wadu-aidu-wadaidu
Wadu-aidu-wadaidu, wadu-aidu-wadaidu
Wadu-aidu-wadaidu, wadu-aidu-wadaidu

[Verse 1]
There is a song, you're tremblin' to its tune
At the request of the moon
Lickin' her chops, she looks at the lunatics
She needs another fix

[Bridge]
I'm only jokin' (I'm only jokin')
I don't believe a thing I've said
What are you smokin'? (What are you smokin'?)
I'm just a-fuckin' with your head
Only a crazy little thing I read

[Chorus]
I'm only jokin', I don't believe a thing I've said
What are you smokin'? I'm just a-fuckin' with your head
Only a crazy little thing I read
I'm only jokin', I don't believe a thing I've said
What are you smokin'? I'm just a-fuckin' with your head
Only a crazy little thing I read
Only a crazy little thing I read"
171704,Beats Knockin (feat. Fly Boi Keno),Jack Ü,2015.0,33.0,Edm ,173,https://www.youtube.com/watch?v=wO6EeBCWuzI,https://i.ytimg.com/vi_webp/wO6EeBCWuzI/maxresdefault.webp,"12 ContributorsBeats Knockin Lyrics[Chorus: Fly Boi Keno]
My beat's steady knockin'
My beat's steady knockin'
My beat's steady knockin', beat's steady knockin'
Beat's steady knockin' but them hoes steady jockin'
My beat's steady knockin' but them hoes steady jockin'
Beat's steady knockin' but them hoes steady jockin'

[Refrain: Fly Boi Keno]
Gimme the, gimme the, gimme the, gimme the
Gimme the, get the beat
Gimme the, gimme the, gimme the, gimme the
Gimme the, get the beat
Gimme the, gimme the, gimme the, gimme the
Gimme the, get the beat

[Chorus: Fly Boi Keno]
My beat's steady knockin'
My beat's steady knockin'
My beat's steady knockin', beat's steady knockin'
Beat's steady knockin' but them hoes steady jockin'
My beat's steady knockin' but them hoes steady jockin'
Beat's steady knockin' but them hoes steady jockin'

[Refrain: Fly Boi Keno]
Gimme the, gimme the, gimme the, gimme the
Gimme the, get the beat
Gimme the, gimme the, gimme the, gimme the
Gimme the, get the beat
Gimme the, gimme the, gimme the, gimme the
Gimme the, get the beat


[Verse: Fly Boi Keno]
Slow it down, slow it down, slow it down
Slow it down, slow it down, slow it down
Slow it down, slow it down, slow it down
Slow it down, slow it down, slow it down
You slick work rockin', you slick work rockin'
You slick work rockin', you slick work rockin'
You slick work rockin', you slick work rockin'
You slick work rockin', you slick work rockin'

[Refrain: Fly Boi Keno]
Gimme the, gimme the, gimme the, gimme the
Gimme the, get the beat
Gimme the, gimme the, gimme the, gimme the
Gimme the, get the beat
Gimme the, gimme the, gimme the, gimme the
Gimme the, get the beat

[Bridge]
Beat's steady, beat's steady, beat's steady knockin'

[Refrain]
Gimme the, gimme the, gimme the, gimme the
Gimme the, get the beat
Gimme the, gimme the, gimme the, gimme the
Gimme the, get the beat
Gimme the, gimme the, gimme the, gimme the
Gimme the, get the beat


[Bridge: Fly Boi Keno]
Beat's steady, beat's steady, beat's steady knockin'

[Chorus: Fly Boi Keno]
My beat's steady knockin'
My beat's steady knockin'
My beat's steady knockin', beat's steady knockin'
Beat's steady knockin' but them hoes steady jockin'
My beat's steady knockin' but them hoes steady jockin'
Beat's steady knockin' but them hoes steady jockin'"
171705,Are You Lonesome Tonight,Elvis Presley,1963.0,36.0,Classical,187,https://www.youtube.com/watch?v=qFJnajUkreI,https://i.ytimg.com/vi_webp/qFJnajUkreI/maxresdefault.webp,"37 ContributorsAre You Lonesome Tonight? Lyrics[Verse 1]
Are you lonesome tonight? Do you miss me tonight?
Are you sorry we drifted apart?
Does your memory stray to a brighter summer day
When I kissed you and called you sweetheart?

[Verse 2]
Do the chairs in your parlor seem empty and bare?
Do you gaze at your doorstep and picture me there?
Is your heart filled with pain? Shall I come back again?
Tell me, dear, are you lonesome tonight?

[Interlude]
I wonder if you are lonesome tonight
You know someone said that the world's a stage, and each must play a part
Fate had me playing in love with you as my sweetheart
Act one was where we met
I loved you at first glance
You read your lines so cleverly and never missed a cue
Then came act two
You seemed to change, you acted strange
And why I've never known
Honey, you lied when you said you loved me
And I had no cause to doubt you
But I'd rather go on hearing your lies
Than to go on living without you
Now the stage is bare, and I'm standing there
With emptiness all around
And if you won't come back to me
Then they can bring the curtain down


[Outro]
Is your heart filled with pain? Shall I come back again?
Tell me, dear, are you lonesome tonight?"
171706,Your House - Hidden Track [Acoustic],Alanis Morissette,2005.0,35.0,Country,216,https://www.youtube.com/watch?v=xC_tNIrdld4,https://i.ytimg.com/vi_webp/xC_tNIrdld4/maxresdefault.webp,
171707,Hang On Sloopy,The McCoys,1995.0,35.0,Country,231,https://www.youtube.com/watch?v=WbZq5idUJcI,https://i.ytimg.com/vi_webp/WbZq5idUJcI/maxresdefault.webp,"15 ContributorsHang On Sloopy Lyrics[Chorus]
Hang on, Sloopy
Sloopy, hang on
Hang on, Sloopy
Sloopy, hang on

[Verse 1]
Sloopy lives in a very bad part of town
And everybody, yeah, tries to put my Sloopy down
Sloopy, I don't care what your daddy do
'Cause you know, Sloopy, girl, I'm in love with you

[Chorus]
And so I say now, hang on, Sloopy
Sloopy, hang on
Hang on, Sloopy
Sloopy, hang on

[Interlude]
Yeah (Yeah), yeah (yeah)
Give it to 'em, right now!

[Guitar Solo]

[Verse 2]
Sloopy, let your hair down, girl (Ooh-ooh-ooh-ooh)
Let it hang down on me
Sloopy, let your hair down, girl (Ooh-ooh-ooh-ooh)
Let it hang down on me, yeah, yeah


[Bridge]
Come on, Sloopy (Come on, come on)
Well, come on, Sloopy (Come on, come on)
Well, come on, Sloopy (Come on, come on)
Well, come on, Sloopy (Come on, come on)
Well, it feels so good (Come on, come on)
You know it feels so good (Come on, come on)
Uh, shake it, shake it, shake it, Sloopy (Come on, come on)
Uh, shake it, shake it, shake it, yeah (Come on, come on)

[Chorus]
Hang on, Sloopy
Sloopy, hang on (Yeah yeah, yeah yeah, yeah yeah)
Hang on, Sloopy
Sloopy, hang on (Yeah yeah, yeah yeah, yeah yeah)

[Refrain]
Hang on, Sloopy
Sloopy, hang on"
171708,Million Years Ago,Adele,2016.0,31.0,R&b,227,https://www.youtube.com/watch?v=Db9ciJPIaEU,https://i.ytimg.com/vi_webp/Db9ciJPIaEU/maxresdefault.webp,"57 ContributorsTranslationsРусскийFrançaisEspañolPortuguêsMillion Years Ago Lyrics[Produced by Greg Kurstin]

[Verse 1]
I only wanted to have fun
Learning to fly, learning to run
I let my heart decide the way
When I was young

Deep down, I must have always known
That this would be inevitable
To earn my stripes, I'd have to pay
And bare my soul

[Chorus]
I know I'm not the only one
Who regrets the things they've done
Sometimes, I just feel it's only me
Who can't stand the reflection that they see
I wish I could live a little more
Look up to the sky, not just the floor
I feel like my life is flashing by
And all I can do is watch and cry

I miss the air, I miss my friends
I miss my mother, I miss it when
Life was a party to be thrown
But that was a million years ago


[Verse 2]
When I walk around all of the streets
Where I grew up and found my feet
They can't look me in the eye
It's like they're scared of me

I try to think of things to say
Like a joke or a memory
But they don't recognize me now
In the light of day

[Chorus]
I know I'm not the only one
Who regrets the things they've done
Sometimes, I just feel it's only me
Who never became who they thought they'd be
I wish I could live a little more
Look up to the sky, not just the floor
I feel like my life is flashing by
And all I can do is watch and cry

I miss the air, I miss my friends
I miss my mother, I miss it when
Life was a party to be thrown
But that was a million years ago
[Outro]
A million years ago"
171709,Uninvited,Alanis Morissette,2005.0,2.0,Rock,276,https://www.youtube.com/watch?v=cqDm-4ScZbo,https://i.ytimg.com/vi_webp/cqDm-4ScZbo/maxresdefault.webp,"31 ContributorsUninvited Lyrics[Verse 1]
Like anyone would be
I am flattered by your fascination with me
Like any hot blooded woman
I have simply wanted an object to crave

[Chorus]
But you, you're not allowed
You're uninvited
An unfortunate slight

[Verse 2]
Must be strangely exciting
To watch the stoic squirm
Must be somewhat heartening
To watch shepherd meet shepherd

[Chorus]
But you, you're not allowed
You're uninvited
An unfortunate slight

[Verse 3]
Like any uncharted territory
I must seem greatly intriguing
You speak of my love like
You have experienced love like mine before


[Chorus]
But this is not allowed
You're uninvited
An unfortunate slight

[Outro]
I don't think you unworthy
But I need a moment to deliberate"
171710,I Told You So,Carrie Underwood,2007.0,35.0,Country,257,https://www.youtube.com/watch?v=8ef1mt5iRUI,https://i.ytimg.com/vi_webp/8ef1mt5iRUI/maxresdefault.webp,"13 ContributorsI Told You So Lyrics[Verse 1]
Suppose I called you up tonight and told you that I love you
And suppose I said I wanna come back home
And suppose I cried and said I think I've finally learned my lesson
And I'm tired of spendin' all my time alone

[Verse 2]
If I told you that I realized you're all I ever wanted
And it's killin' me to be so far away
Would you tell me that you love me too? And would we cry together?
Or would you simply laugh at me and say

[Chorus]
I told you so, oh, I told you so
I told you some day you'd come crawlin' back and askin' me to take you in
I told you so, but you had to go
Now I've found somebody new and you will never break my heart in two again

[Verse 3]
If I got down on my knees and told you I was yours forever
Would you get down on yours too and take my hand?
Would we get that old time feelin'? Would we laugh and talk for hours?
The way we did when our love first began

[Verse 4]
Would you tell me that you've missed me too and that you've been so lonely?
And you've waited for the day that I returned
And we'd live and love forever, and that I'm your one and only
Or would you say the tables finally turned?


[Chorus]
Would you say I told you so? Oh, I told you so
I told you some day you'd come crawlin' back and askin' me to take you in
I told you so, but you had to go
Now I found somebody new and you will never break my heart in two again

[Outro]
Now I found somebody new and you will never break my heart in two again"
171711,Wolves,One Direction,2015.0,1.0,Pop,241,https://www.youtube.com/watch?v=uynDtWX_3_E,https://i.ytimg.com/vi_webp/uynDtWX_3_E/maxresdefault.webp,"54 ContributorsTranslationsMagyarPolskiWolves Lyrics[Intro: Harry, All]
I hear them calling for you
(Ooh, ooh) I hear them calling for you

[Verse 1: Liam, Louis]
I feel the waves getting started
It's a rush inside I can't control
Your eyes keep pulling me in
And I know, I know, I know
Your friends all talking 'bout me
They say I got no chance at all
But your fire is burning deep
In my soul, my soul, my soul

[Pre-Chorus: Niall]
I ain't up for debating
Ain't in it for the taking
You got the whole world shaking

[Chorus: Harry, All]
In the middle of the night when the wolves come out
Headed straight for your heart like a bullet in the dark
One by one, I try to take them down
But they run and hide, ain't going down without a fight
(Ooh) I hear them calling for you
(Ooh) I hear them callin'
In the middle of the night when the wolves come out
Headed straight for your heart, they come straight for your heart


[Post-Chorus: All]
(Ooh, ooh) I hear them calling for you
(Ooh, ooh) I hear them calling for you

[Verse 2: Liam, Louis, Niall]
I keep on holding tight now
'Cause your body's telling me ""Don't let go""
We're gonna be starting up trouble
I know, I know, I know
Just bringing my demons out
More than ever now
Your beauty could start a war
As you walk in the door

[Pre-Chorus: Liam]
I ain't up for debating
Ain't in it for the taking
We got the whole world shaking

[Chorus: Harry, All]
In the middle of the night when the wolves come out
Headed straight for your heart like a bullet in the dark
One by one, I try to take them down
But they run and hide, ain't going down without a fight
(Ooh) I hear them calling for you
(Ooh) I hear them callin'
In the middle of the night when the wolves come out
Headed straight for your heart, they come straight for your heart


[Post-Chorus: All]
(Ooh, ooh) I hear them calling for you
(Ooh, ooh) I hear them calling for you

[Bridge: Niall, Liam, All]
I wish it wasn't true
But the whole world's tryna get a piece of you
And my heart keeps fightin' in this battle of fools
Gotta make it through, gotta make it through

[Chorus: Harry, All]
In the middle of the night when the wolves come out
Headed straight for your heart like a bullet in the dark
One by one, I try to take them down
But they run and hide, ain't going down without a fight
(Ooh) I hear them calling for you
(Ooh) I hear them callin'
In the middle of the night when the wolves come out
Headed straight for your heart, they come straight for your heart

[Post-Chorus: All]
(Ooh, ooh) I hear them calling for you
(Ooh, ooh) I hear them calling for you"
